"2084 - 2126"  5.4e+1
"2126 - 2168"  1.1e+1
"2168 - 2211"  1.1e+1
"2211 - 2253"  1.4e+1
"2253 - 2295"  1.e+0
"2295 - 2338"  4.e+0
"2338 - 2380"  3.e+0
"2380 - 2422"  0.0e+0
"2422 - 2465"  1.e+0
"2465 - 2507"  0.0e+0
