"2612"  0.0e+0 0.0e+0 0.0e+0 6.e+0
" "  0.0e+0 0.0e+0 0.0e+0 2.3e+1
"2702"  0.0e+0 0.0e+0 0.0e+0 4.e+0
" "  0.0e+0 0.0e+0 0.0e+0 6.e+0
"2791"  0.0e+0 0.0e+0 0.0e+0 6.e+0
" "  0.0e+0 0.0e+0 0.0e+0 3.e+0
"2880"  0.0e+0 0.0e+0 0.0e+0 2.e+0
" "  0.0e+0 0.0e+0 0.0e+0 0.0e+0
"2970"  0.0e+0 0.0e+0 0.0e+0 0.0e+0
" "  0.0e+0 0.0e+0 0.0e+0 0.0e+0
"3059"  0.0e+0 0.0e+0 3.e+0 0.0e+0
" "  0.0e+0 0.0e+0 5.e+0 0.0e+0
"3148"  0.0e+0 0.0e+0 2.4e+1 0.0e+0
" "  0.0e+0 0.0e+0 8.e+0 0.0e+0
"3237"  0.0e+0 0.0e+0 4.e+0 0.0e+0
" "  0.0e+0 0.0e+0 4.e+0 0.0e+0
"3327"  0.0e+0 0.0e+0 1.e+0 0.0e+0
" "  0.0e+0 0.0e+0 0.0e+0 0.0e+0
"3416"  0.0e+0 0.0e+0 0.0e+0 0.0e+0
" "  0.0e+0 0.0e+0 1.e+0 0.0e+0
"3505"  0.0e+0 0.0e+0 0.0e+0 0.0e+0
" "  0.0e+0 0.0e+0 0.0e+0 0.0e+0
"3595"  0.0e+0 0.0e+0 0.0e+0 0.0e+0
" "  0.0e+0 3.e+0 0.0e+0 0.0e+0
"3684"  0.0e+0 8.e+0 0.0e+0 0.0e+0
" "  0.0e+0 1.2e+1 0.0e+0 0.0e+0
"3773"  0.0e+0 1.5e+1 0.0e+0 0.0e+0
" "  0.0e+0 5.e+0 0.0e+0 0.0e+0
"3862"  0.0e+0 3.e+0 0.0e+0 0.0e+0
" "  0.0e+0 2.e+0 0.0e+0 0.0e+0
"3952"  0.0e+0 1.e+0 0.0e+0 0.0e+0
" "  0.0e+0 1.e+0 0.0e+0 0.0e+0
"4041"  0.0e+0 0.0e+0 0.0e+0 0.0e+0
" "  0.0e+0 0.0e+0 0.0e+0 0.0e+0
"4130"  0.0e+0 0.0e+0 0.0e+0 0.0e+0
" "  0.0e+0 0.0e+0 0.0e+0 0.0e+0
"4220"  0.0e+0 0.0e+0 0.0e+0 0.0e+0
" "  0.0e+0 0.0e+0 0.0e+0 0.0e+0
"4309"  0.0e+0 0.0e+0 0.0e+0 0.0e+0
" "  0.0e+0 0.0e+0 0.0e+0 0.0e+0
"4398"  0.0e+0 0.0e+0 0.0e+0 0.0e+0
" "  1.e+0 0.0e+0 0.0e+0 0.0e+0
"4487"  2.e+0 0.0e+0 0.0e+0 0.0e+0
" "  3.e+0 0.0e+0 0.0e+0 0.0e+0
"4577"  5.e+0 0.0e+0 0.0e+0 0.0e+0
" "  9.e+0 0.0e+0 0.0e+0 0.0e+0
"4666"  1.2e+1 0.0e+0 0.0e+0 0.0e+0
" "  1.2e+1 0.0e+0 0.0e+0 0.0e+0
"4755"  3.e+0 0.0e+0 0.0e+0 0.0e+0
" "  2.e+0 0.0e+0 0.0e+0 0.0e+0
